nwsli,date,time,high_F,low_F,precip,snow_inch,snowd_inch
BAUM5,2023-09-07,3:00 PM,67.0,42.0,0.00,0.00,0.00
FEDM5,2023-09-07,8:00 AM,58.0,51.0,0.00,0.00,0.00
GLWM5,2023-09-07,7:00 AM,69.0,45.0,0.00,0.00,0.00
DTRM5,2023-09-07,11:00 AM,72.0,46.0,0.00,0.00,0.00
TOHM5,2023-09-07,7:00 AM,63.0,53.0,0.04,0.00,0.00
BMBM5,2023-09-07,,,,,,
FORM5,2023-09-07,8:00 AM,65.0,55.0,0.03,0.00,0.00
UMNM5,2023-09-07,8:00 AM,64.0,55.0,T,0.00,0.00
ADAM5,2023-09-07,6:00 AM,69.0,36.0,0.00,0.00,0.00
MWDM5,2023-09-07,7:00 AM,,,T,0.00,0.00
ADVM5,2023-09-07,5:00 AM,76.0,56.0,T,0.00,0.00
CLQM5,2023-09-07,8:00 AM,61.0,49.0,T,0.00,0.00
ITAM5,2023-09-07,7:00 AM,62.0,39.0,0.02,0.00,0.00
GRBM5,2023-09-07,,,,,,
ILGM5,2023-09-07,,,,,,
BRVM5,2023-09-07,6:00 AM,70.0,40.0,0.00,0.00,0.00
OTTM5,2023-09-07,6:00 AM,67.0,47.0,0.00,0.00,0.00
GDPM5,2023-09-07,7:00 AM,59.0,48.0,0.09,0.00,0.00
SPTM5,2023-09-07,6:00 AM,64.0,48.0,0.00,0.00,0.00
HAWM5,2023-09-07,,,,0.00,,
BGFM5,2023-09-07,8:00 AM,62.0,,0.00,0.00,0.00
SEBM5,2023-09-07,7:00 AM,74.0,48.0,0.00,0.00,0.00
SILM5,2023-09-07,7:00 AM,,,0.49,0.00,0.00
SNDM5,2023-09-07,12:00 AM,64.0,46.0,0.01,,
HOKM5,2023-09-07,7:00 AM,,,T,0.00,0.00
MMLM5,2023-09-07,8:00 AM,72.0,44.0,0.00,0.00,0.00
BENM5,2023-09-07,7:00 AM,69.0,42.0,0.00,0.00,0.00
FRBM5,2023-09-07,6:00 AM,,,0.03,0.00,0.00
BRAM5,2023-09-07,7:00 AM,60.0,47.0,0.00,0.00,0.00
ERVM5,2023-09-07,6:00 AM,64.0,55.0,0.00,0.00,0.00
HOUM5,2023-09-07,,,,0.00,,
WABM5,2023-09-07,6:00 AM,,,0.00,0.00,0.00
LNCM5,2023-09-07,8:00 AM,,,0.00,0.00,0.00
HLLM5,2023-09-07,,65.0,47.0,0.00,0.00,0.00
GRDM5,2023-09-07,,,,0.00,,
HENM5,2023-09-07,,,,0.00,,
PTNM5,2023-09-07,8:00 AM,70.0,56.0,0.02,0.00,0.00
WSKM5,2023-09-07,8:00 AM,60.0,39.0,0.00,0.00,0.00
LNCM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
HENM5,2023-09-08,,,,0.00,,
WSKM5,2023-09-08,8:00 AM,67.0,43.0,0.00,0.00,0.00
WABM5,2023-09-08,6:00 AM,,,0.00,0.00,0.00
GRDM5,2023-09-08,,,,0.00,,
PTNM5,2023-09-08,8:00 AM,62.0,53.0,0.01,0.00,0.00
HLLM5,2023-09-08,,71.0,53.0,0.00,0.00,0.00
BNDM5,2023-09-08,12:00 AM,57.0,49.0,,0.00,0.00
TLRM5,2023-09-08,,,,,,
VADM5,2023-09-08,2:00 PM,66.0,56.0,0.00,0.00,0.00
MLNM5,2023-09-08,5:00 PM,87.0,52.0,0.00,0.00,0.00
BSNM5,2023-09-08,8:00 AM,76.0,41.0,0.00,0.00,0.00
SPEM5,2023-09-08,7:00 AM,72.0,47.0,0.00,0.00,0.00
CRNM5,2023-09-08,8:00 AM,76.0,45.0,0.00,0.00,0.00
BJIM5,2023-09-08,7:00 AM,52.0,52.0,0.00,0.00,0.00
ORWM5,2023-09-08,,,,,,
COTM5,2023-09-08,7:00 AM,,,,0.00,0.00
AGGM5,2023-09-08,12:00 AM,75.0,50.0,0.00,,
GRPM5,2023-09-08,11:00 PM,74.0,50.0,0.00,0.00,0.00
JDNM5,2023-09-08,4:00 AM,67.0,47.0,0.00,0.00,0.00
CMBM5,2023-09-08,8:00 AM,63.0,46.0,0.00,0.00,0.00
TCYM5,2023-09-08,8:00 AM,75.0,55.0,0.00,0.00,0.00
BRCM5,2023-09-08,,,,,,
LKWM5,2023-09-08,8:00 AM,79.0,45.0,0.00,0.00,0.00
GRTM5,2023-09-08,11:00 PM,90.0,53.0,0.00,0.00,
ALVM5,2023-09-08,,,,0.00,,
THRM5,2023-09-08,5:00 PM,77.0,51.0,0.00,0.00,0.00
RIAM5,2023-09-08,8:00 AM,68.0,46.0,0.00,0.00,0.00
LKBM5,2023-09-08,,,,,,
RLWM5,2023-09-08,7:00 AM,73.0,,,0.00,0.00
SDYM5,2023-09-08,8:00 AM,64.0,50.0,0.00,0.00,0.00
ELKM5,2023-09-08,7:00 AM,62.0,48.0,0.00,0.00,0.00
STJM5,2023-09-08,8:00 AM,73.0,45.0,0.00,0.00,0.00
CANM5,2023-09-08,8:00 AM,78.0,44.0,0.00,0.00,0.00
SATM5,2023-09-08,7:00 PM,74.0,43.0,0.00,0.00,0.00
WRIM5,2023-09-08,6:00 AM,63.0,47.0,0.00,0.00,0.00
ASTM5,2023-09-08,7:00 AM,66.0,48.0,T,0.00,0.00
LSAM5,2023-09-08,5:00 AM,63.0,54.0,0.00,0.00,
BLHM5,2023-09-08,,,,,,
KIMM5,2023-09-08,6:00 AM,67.0,48.0,0.00,0.00,0.00
ALXM5,2023-09-08,6:00 AM,,,0.00,0.00,
MPXM5,2023-09-08,11:00 PM,77.0,46.0,0.00,0.00,0.00
ELVM5,2023-09-08,7:00 AM,58.0,50.0,0.00,0.00,0.00
DLNM5,2023-09-08,8:00 AM,65.0,47.0,0.00,0.00,0.00
DSLM5,2023-09-08,7:00 AM,69.0,46.0,0.00,0.00,0.00
ASNM5,2023-09-08,6:00 AM,66.0,48.0,T,0.00,0.00
LNGM5,2023-09-08,6:00 AM,72.0,40.0,0.00,0.00,0.00
WALM5,2023-09-08,,,,,,
PRPM5,2023-09-08,7:00 AM,67.0,47.0,0.00,0.00,0.00
MMLM5,2023-09-08,8:00 AM,78.0,44.0,0.00,0.00,0.00
BRAM5,2023-09-08,7:00 AM,68.0,47.0,0.00,0.00,0.00
FRBM5,2023-09-08,6:00 AM,,,0.00,0.00,0.00
BENM5,2023-09-08,7:00 AM,76.0,41.0,0.00,0.00,0.00
ERVM5,2023-09-08,6:00 AM,62.0,48.0,0.00,0.00,0.00
UMNM5,2023-09-08,8:00 AM,62.0,47.0,T,0.00,0.00
ADVM5,2023-09-08,5:00 AM,63.0,44.0,0.00,0.00,0.00
MWDM5,2023-09-08,7:00 AM,,,T,0.00,0.00
ADAM5,2023-09-08,6:00 AM,74.0,37.0,0.00,0.00,0.00
BMBM5,2023-09-08,,,,,,
FORM5,2023-09-08,7:00 AM,63.0,46.0,0.00,0.00,0.00
VCTM5,2023-09-08,,,,,,
GBHM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
CLGM5,2023-09-08,6:00 PM,77.0,44.0,0.00,0.00,0.00
IFSM5,2023-09-08,,,,,,
DELM5,2023-09-08,6:00 AM,65.0,47.0,0.00,0.00,0.00
GLLM5,2023-09-08,8:00 AM,64.0,48.0,0.00,0.00,0.00
GLWM5,2023-09-08,7:00 AM,74.0,45.0,0.00,0.00,0.00
FEDM5,2023-09-08,8:00 AM,64.0,45.0,0.00,0.00,0.00
GEOM5,2023-09-08,6:00 PM,78.0,53.0,0.00,0.00,0.00
DTRM5,2023-09-08,11:00 AM,77.0,51.0,0.00,0.00,0.00
BAUM5,2023-09-08,3:00 PM,75.0,46.0,0.00,0.00,0.00
TOHM5,2023-09-08,7:00 AM,61.0,53.0,0.00,0.00,0.00
HOKM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
SNDM5,2023-09-08,12:00 AM,71.0,43.0,0.00,,
OTTM5,2023-09-08,5:00 AM,71.0,46.0,0.00,0.00,0.00
GRBM5,2023-09-08,7:00 AM,,,,,
BRVM5,2023-09-08,5:00 AM,73.0,40.0,0.00,0.00,0.00
ILGM5,2023-09-08,,,,,,
HOUM5,2023-09-08,,,,0.00,,
CLQM5,2023-09-08,8:00 AM,59.0,44.0,0.00,0.00,0.00
ITAM5,2023-09-08,7:00 AM,71.0,40.0,0.00,0.00,0.00
BGFM5,2023-09-08,8:00 AM,,,,0.00,0.00
HAWM5,2023-09-08,,,,0.00,,
SILM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
SPTM5,2023-09-08,6:00 AM,72.0,47.0,0.00,0.00,0.00
SEBM5,2023-09-08,7:00 AM,78.0,47.0,0.00,0.00,0.00
GDPM5,2023-09-08,7:00 AM,55.0,48.0,0.01,0.00,0.00
THFM5,2023-09-08,,,,,,
AXNM5,2023-09-08,,,,,,
NISM5,2023-09-08,,,,,,
RUDM5,2023-09-08,7:00 AM,64.0,56.0,0.00,0.00,0.00
WRUM5,2023-09-08,10:00 PM,69.0,52.0,0.00,0.00,0.00
CRLM5,2023-09-08,8:00 AM,64.0,49.0,0.00,0.00,0.00
BWNM5,2023-09-08,8:00 AM,69.0,46.0,0.00,0.00,0.00
ARTM5,2023-09-08,7:00 PM,85.0,51.0,0.00,0.00,0.00
BRMM5,2023-09-08,7:00 AM,65.0,48.0,0.00,0.00,0.00
ELYM5,2023-09-08,8:00 AM,55.0,38.0,0.00,0.00,0.00
SBNM5,2023-09-08,7:00 AM,73.0,41.0,0.00,0.00,0.00
WDOM5,2023-09-08,8:00 AM,76.0,49.0,0.00,0.00,0.00
ONMM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
WELM5,2023-09-08,8:00 AM,70.0,48.0,0.00,0.00,0.00
THLM5,2023-09-08,7:00 AM,63.0,51.0,0.00,0.00,0.00
NYMM5,2023-09-08,7:00 AM,71.0,44.0,0.00,0.00,0.00
INDM5,2023-09-08,,,,,,
WTSM5,2023-09-08,6:00 AM,,,0.00,0.00,0.00
DWSM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
DAWM5,2023-09-08,6:00 AM,,,0.00,0.00,0.00
RWGM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
LCRM5,2023-09-08,12:00 AM,64.0,59.0,0.00,0.00,0.00
ORVM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
NUMM5,2023-09-08,,,,,,
PRLM5,2023-09-08,7:00 AM,64.0,49.0,0.00,0.00,0.00
PIPM5,2023-09-08,8:00 AM,84.0,42.0,0.00,0.00,0.00
LUVM5,2023-09-08,6:00 AM,,,0.00,,
TWOM5,2023-09-08,7:00 PM,62.0,51.0,0.00,0.00,0.00
ATKM5,2023-09-08,,,,,,
HLSM5,2023-09-08,,,,,,
KLLM5,2023-09-08,,,,,,
ALBM5,2023-09-08,8:00 AM,70.0,48.0,0.00,0.00,0.00
SPGM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
TOGM5,2023-09-08,8:00 AM,58.0,39.0,0.00,0.00,0.00
MLCM5,2023-09-08,7:00 AM,62.0,47.0,0.00,0.00,0.00
LAKM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
EMBM5,2023-09-08,6:00 AM,59.0,49.0,0.00,0.00,0.00
WNNM5,2023-09-08,8:00 AM,72.0,50.0,0.00,0.00,0.00
RHSM5,2023-09-08,7:00 AM,80.0,53.0,0.00,0.00,0.00
GMRM5,2023-09-08,8:00 AM,62.0,52.0,0.00,0.00,0.00
LAMM5,2023-09-08,8:00 AM,75.0,44.0,0.00,0.00,0.00
MRRM5,2023-09-08,8:00 AM,79.0,51.0,0.00,0.00,0.00
OSGM5,2023-09-08,7:00 AM,69.0,46.0,0.00,0.00,0.00
WRNM5,2023-09-08,8:00 AM,74.0,43.0,0.00,0.00,0.00
BTHM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
JORM5,2023-09-08,5:00 AM,67.0,47.0,0.00,0.00,0.00
COKM5,2023-09-08,6:00 AM,57.0,49.0,0.00,0.00,0.00
WMRM5,2023-09-08,,,,,,
NOHM5,2023-09-08,7:00 AM,66.0,48.0,0.00,0.00,0.00
GMDM5,2023-09-08,5:00 AM,62.0,44.0,0.00,0.00,0.00
AGAM5,2023-09-08,8:00 AM,73.0,49.0,0.00,0.00,0.00
CSLM5,2023-09-08,8:00 AM,64.0,49.0,0.00,0.00,0.00
WASM5,2023-09-08,8:00 AM,69.0,46.0,0.00,0.00,0.00
GLDM5,2023-09-08,9:00 AM,71.0,51.0,0.00,0.00,0.00
WLDM5,2023-09-08,8:00 AM,64.0,41.0,T,0.00,0.00
TOWM5,2023-09-08,7:00 AM,57.0,49.0,0.00,0.00,0.00
KABM5,2023-09-08,8:00 AM,56.0,38.0,0.00,0.00,0.00
EGNM5,2023-09-08,8:00 AM,,,0.01,0.00,0.00
RDWM5,2023-09-08,9:00 AM,63.0,52.0,0.00,0.00,0.00
ALTM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
MNNM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
FBTM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
TWRM5,2023-09-08,,,,,,
MOOM5,2023-09-08,,,,,,
HKHM5,2023-09-08,7:00 AM,,,,,
BABM5,2023-09-08,,,,,,
LMBM5,2023-09-08,7:00 AM,75.0,44.0,0.00,0.00,0.00
NHPM5,2023-09-08,11:00 PM,78.0,48.0,0.00,0.00,0.00
LCHM5,2023-09-08,8:00 AM,70.0,46.0,0.00,0.00,0.00
PKGM5,2023-09-08,8:00 AM,62.0,49.0,0.00,0.00,0.00
PELM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
CLDM5,2023-09-08,6:00 AM,63.0,55.0,0.00,0.00,0.00
RCEM5,2023-09-08,6:00 AM,68.0,44.0,0.00,0.00,0.00
WHTM5,2023-09-08,8:00 AM,74.0,48.0,T,0.00,0.00
LKFM5,2023-09-08,7:00 AM,75.0,49.0,0.00,0.00,0.00
WIDM5,2023-09-08,8:00 AM,64.0,57.0,0.02,0.00,0.00
RSRM5,2023-09-08,6:00 AM,,,0.00,0.00,0.00
LEIM5,2023-09-08,6:00 AM,57.0,41.0,0.00,0.00,0.00
WSBM5,2023-09-08,7:00 AM,,,0.00,0.00,0.00
BRUM5,2023-09-08,8:00 AM,60.0,45.0,0.00,0.00,0.00
HSTM5,2023-09-08,5:00 AM,69.0,54.0,0.00,0.00,0.00
BDIM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
WAAM5,2023-09-08,8:00 AM,73.0,47.0,0.00,0.00,0.00
TETM5,2023-09-08,9:00 AM,,,T,0.00,0.00
MHNM5,2023-09-08,,,,,,
MABM5,2023-09-08,6:00 AM,62.0,54.0,0.00,0.00,0.00
MSCM5,2023-09-08,6:00 AM,64.0,58.0,0.00,0.00,0.00
ZMPM5,2023-09-08,,,,,,
SHRM5,2023-09-08,8:00 AM,73.0,47.0,0.00,0.00,0.00
MRAM5,2023-09-08,7:00 AM,63.0,45.0,0.00,0.00,0.00
OWAM5,2023-09-08,8:00 AM,67.0,49.0,0.00,0.00,0.00
MADM5,2023-09-08,8:00 AM,76.0,46.0,0.00,0.00,0.00
STIM5,2023-09-08,8:00 AM,63.0,49.0,0.00,0.00,0.00
ISEM5,2023-09-08,,,,,,
MLRM5,2023-09-08,8:00 AM,,,0.00,0.00,0.00
FLDM5,2023-09-08,7:00 AM,62.0,43.0,0.00,0.00,0.00
WLFM5,2023-09-08,8:00 AM,54.0,48.0,0.00,0.00,0.00
AITM5,2023-09-08,,,,,,
RSMM5,2023-09-08,8:00 AM,62.0,44.0,0.00,0.00,0.00
BKEM5,2023-09-08,,,,,,
MIAM5,2023-09-08,6:00 PM,87.0,52.0,0.00,0.00,0.00
WRSM5,2023-09-08,8:00 AM,,,T,0.00,0.00
GNFM5,2023-09-08,7:00 AM,54.0,47.0,T,0.00,0.00
RSMM5,2023-09-09,8:00 AM,78.0,48.0,0.00,0.00,0.00
AITM5,2023-09-09,,,,,,
MIAM5,2023-09-09,6:00 PM,85.0,56.0,T,0.00,0.00
BKEM5,2023-09-09,,,,,,
GNFM5,2023-09-09,8:00 AM,66.0,49.0,0.01,0.00,0.00
WRSM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
MSCM5,2023-09-09,7:00 AM,,55.0,0.00,0.00,0.00
MABM5,2023-09-09,7:00 AM,73.0,40.0,0.00,0.00,0.00
HSTM5,2023-09-09,5:00 AM,76.0,52.0,0.00,0.00,0.00
BDIM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
TETM5,2023-09-09,8:00 AM,,,,0.00,0.00
MHNM5,2023-09-09,,,,,,
WAAM5,2023-09-09,8:00 AM,77.0,50.0,0.00,0.00,0.00
WIDM5,2023-09-09,8:00 AM,74.0,55.0,0.00,0.00,0.00
RCEM5,2023-09-09,8:00 AM,77.0,50.0,0.00,0.00,0.00
LKFM5,2023-09-09,7:00 AM,82.0,58.0,0.00,0.00,0.00
RSRM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
LEIM5,2023-09-09,6:00 AM,72.0,50.0,0.02,0.00,0.00
WHTM5,2023-09-09,8:00 AM,81.0,51.0,T,0.00,0.00
WSBM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
BRUM5,2023-09-09,8:00 AM,70.0,49.0,0.00,0.00,0.00
WLFM5,2023-09-09,8:00 AM,60.0,47.0,0.01,0.00,0.00
MLRM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
ISEM5,2023-09-09,,,,,,
STIM5,2023-09-09,8:00 AM,75.0,51.0,0.00,0.00,0.00
FLDM5,2023-09-09,7:00 AM,70.0,50.0,0.00,0.00,0.00
SHRM5,2023-09-09,8:00 AM,81.0,51.0,0.00,0.00,0.00
ZMPM5,2023-09-09,,,,,,
OWAM5,2023-09-09,8:00 AM,78.0,51.0,0.00,0.00,0.00
MRAM5,2023-09-09,7:00 AM,74.0,46.0,0.00,0.00,0.00
MADM5,2023-09-09,8:00 AM,87.0,46.0,0.00,0.00,0.00
SPTM5,2023-09-09,6:00 AM,78.0,49.0,0.00,0.00,0.00
SEBM5,2023-09-09,7:00 AM,,,,,
SILM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
GDPM5,2023-09-09,7:00 AM,62.0,45.0,0.00,0.00,0.00
HAWM5,2023-09-09,,,,0.03,,
BGFM5,2023-09-09,8:00 AM,,,,0.00,0.00
LSAM5,2023-09-09,5:00 AM,74.0,54.0,0.00,0.00,
ALXM5,2023-09-09,6:00 AM,,,0.00,0.00,
ASTM5,2023-09-09,7:00 AM,78.0,48.0,0.00,0.00,0.00
MPXM5,2023-09-09,11:00 PM,73.0,57.0,T,0.00,0.00
BLHM5,2023-09-09,,,,,,
KIMM5,2023-09-09,6:00 AM,75.0,47.0,0.00,0.00,0.00
CRNM5,2023-09-09,8:00 AM,76.0,49.0,0.00,0.00,0.00
AGGM5,2023-09-09,12:00 AM,73.0,40.0,0.00,,
ORWM5,2023-09-09,,,,,,
GRPM5,2023-09-09,11:00 PM,71.0,53.0,0.00,0.00,0.00
BJIM5,2023-09-09,7:00 AM,57.0,57.0,0.00,0.00,0.00
COTM5,2023-09-09,7:00 AM,,,,0.00,0.00
HENM5,2023-09-09,,,,0.00,,
HLLM5,2023-09-09,,74.0,48.0,0.00,0.00,0.00
LNCM5,2023-09-09,7:00 AM,,,,,
GRDM5,2023-09-09,,,,0.00,,
PTNM5,2023-09-09,8:00 AM,75.0,44.0,0.00,0.00,0.00
WABM5,2023-09-09,6:00 AM,,,0.00,0.00,0.00
WSKM5,2023-09-09,8:00 AM,76.0,54.0,0.65,0.00,0.00
BSNM5,2023-09-09,8:00 AM,86.0,52.0,0.00,0.00,0.00
SPEM5,2023-09-09,7:00 AM,78.0,49.0,0.00,0.00,0.00
MLNM5,2023-09-09,5:00 PM,85.0,56.0,T,0.00,0.00
BNDM5,2023-09-09,12:00 PM,68.0,50.0,T,0.00,0.00
TLRM5,2023-09-09,,,,,,
VADM5,2023-09-09,2:00 PM,72.0,53.0,0.00,0.00,0.00
SATM5,2023-09-09,7:00 PM,72.0,53.0,0.13,0.00,0.00
ELKM5,2023-09-09,7:00 AM,68.0,48.0,0.00,0.00,0.00
CANM5,2023-09-09,8:00 AM,88.0,52.0,0.00,0.00,0.00
WRIM5,2023-09-09,6:00 AM,70.0,47.0,0.00,0.00,0.00
STJM5,2023-09-09,8:00 AM,81.0,50.0,0.00,0.00,0.00
SDYM5,2023-09-09,8:00 AM,72.0,52.0,,0.00,0.00
CMBM5,2023-09-09,8:00 AM,77.0,46.0,,0.00,0.00
BRCM5,2023-09-09,,,,,,
TCYM5,2023-09-09,8:00 AM,84.0,59.0,0.00,0.00,0.00
JDNM5,2023-09-09,4:00 AM,77.0,45.0,0.00,0.00,0.00
LKWM5,2023-09-09,8:00 AM,84.0,53.0,0.00,0.00,0.00
GRTM5,2023-09-09,11:00 PM,77.0,56.0,0.14,0.00,
ALVM5,2023-09-09,,,,0.00,,
RLWM5,2023-09-09,7:00 AM,70.0,42.0,,0.00,0.00
RIAM5,2023-09-09,8:00 AM,72.0,54.0,0.00,0.00,0.00
THRM5,2023-09-09,5:00 PM,73.0,52.0,0.21,0.00,0.00
LKBM5,2023-09-09,,,,,,
ITAM5,2023-09-09,7:00 AM,77.0,50.0,0.00,0.00,0.00
OTTM5,2023-09-09,6:00 AM,77.0,50.0,0.00,0.00,0.00
GRBM5,2023-09-09,,,,,,
CLQM5,2023-09-09,8:00 AM,69.0,47.0,0.00,0.00,0.00
ILGM5,2023-09-09,,,,,,
BRVM5,2023-09-09,7:00 AM,84.0,50.0,0.00,0.00,0.00
BMBM5,2023-09-09,,,,,,
MWDM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
ADAM5,2023-09-09,7:00 AM,79.0,50.0,0.00,0.00,0.00
FORM5,2023-09-09,7:00 AM,77.0,46.0,0.00,0.00,0.00
UMNM5,2023-09-09,8:00 AM,77.0,52.0,0.00,0.00,0.00
ADVM5,2023-09-09,5:00 AM,76.0,44.0,0.00,0.00,0.00
DLNM5,2023-09-09,7:00 AM,77.0,47.0,0.00,0.00,0.00
ELVM5,2023-09-09,7:00 AM,71.0,,0.00,0.00,0.00
WALM5,2023-09-09,,,,,,
ASNM5,2023-09-09,6:00 AM,78.0,48.0,0.00,0.00,0.00
DSLM5,2023-09-09,7:00 AM,79.0,46.0,0.00,0.00,0.00
PRPM5,2023-09-09,7:00 AM,74.0,47.0,0.00,0.00,0.00
LNGM5,2023-09-09,6:00 AM,79.0,48.0,0.00,0.00,0.00
FRBM5,2023-09-09,6:00 AM,,,0.00,0.00,0.00
HOUM5,2023-09-09,,,,0.04,,
BRAM5,2023-09-09,7:00 AM,76.0,50.0,0.00,0.00,0.00
MMLM5,2023-09-09,8:00 AM,88.0,53.0,0.00,0.00,0.00
ERVM5,2023-09-09,6:00 AM,68.0,48.0,0.00,0.00,0.00
BENM5,2023-09-09,7:00 AM,86.0,52.0,0.00,0.00,0.00
SNDM5,2023-09-09,12:00 AM,74.0,51.0,0.05,,
HOKM5,2023-09-09,6:00 AM,,,0.00,0.00,0.00
CLGM5,2023-09-09,6:00 PM,69.0,56.0,0.08,0.00,0.00
GBHM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
GLLM5,2023-09-09,8:00 AM,76.0,50.0,0.00,0.00,0.00
IFSM5,2023-09-09,,,,,,
DELM5,2023-09-09,6:00 AM,77.0,47.0,0.00,0.00,0.00
VCTM5,2023-09-09,,,,,,
BAUM5,2023-09-09,3:00 PM,74.0,47.0,0.00,0.00,0.00
DTRM5,2023-09-09,11:00 AM,71.0,40.0,0.00,0.00,0.00
GEOM5,2023-09-09,6:00 PM,77.0,50.0,0.00,0.00,0.00
FEDM5,2023-09-09,8:00 AM,72.0,52.0,0.00,0.00,0.00
GLWM5,2023-09-09,7:00 AM,82.0,52.0,0.00,0.00,0.00
TOHM5,2023-09-09,8:00 AM,65.0,51.0,0.00,0.00,0.00
PKGM5,2023-09-09,8:00 AM,71.0,50.0,0.00,0.00,0.00
CLDM5,2023-09-09,6:00 AM,72.0,47.0,0.00,0.00,0.00
LMBM5,2023-09-09,7:00 AM,84.0,52.0,0.00,0.00,0.00
NHPM5,2023-09-09,11:00 PM,72.0,60.0,0.02,0.00,0.00
PELM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
LCHM5,2023-09-09,8:00 AM,77.0,53.0,0.00,0.00,0.00
KLLM5,2023-09-09,,,,,,
ATKM5,2023-09-09,,,,,,
HLSM5,2023-09-09,,,,,,
WDOM5,2023-09-09,8:00 AM,83.0,56.0,0.00,0.00,0.00
ARTM5,2023-09-09,6:00 PM,76.0,55.0,0.27,0.00,0.00
SBNM5,2023-09-09,6:00 AM,77.0,54.0,0.00,0.00,0.00
ELYM5,2023-09-09,8:00 AM,65.0,47.0,T,0.00,0.00
BRMM5,2023-09-09,7:00 AM,68.0,43.0,0.00,0.00,0.00
THFM5,2023-09-09,,,,,,
AXNM5,2023-09-09,,,,,,
NISM5,2023-09-09,,,,,,
CRLM5,2023-09-09,8:00 AM,74.0,52.0,0.00,0.00,0.00
WRUM5,2023-09-09,10:00 PM,68.0,51.0,0.00,0.00,0.00
RUDM5,2023-09-09,7:00 AM,76.0,47.0,0.00,0.00,0.00
BWNM5,2023-09-09,8:00 AM,78.0,45.0,0.00,0.00,0.00
ORVM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
NUMM5,2023-09-09,,,,,,
TWOM5,2023-09-09,7:00 PM,68.0,44.0,0.10,0.00,0.00
LUVM5,2023-09-09,6:00 AM,,,0.00,,
PIPM5,2023-09-09,8:00 AM,84.0,57.0,0.00,0.00,0.00
PRLM5,2023-09-09,7:00 AM,74.0,52.0,0.00,0.00,0.00
ONMM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
WELM5,2023-09-09,8:00 AM,78.0,55.0,0.00,0.00,0.00
THLM5,2023-09-09,7:00 AM,76.0,46.0,0.00,0.00,0.00
INDM5,2023-09-09,8:00 AM,69.0,55.0,0.00,0.00,0.00
NYMM5,2023-09-09,9:00 AM,79.0,49.0,0.00,0.00,0.00
RWGM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
DWSM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
LCRM5,2023-09-09,12:00 AM,68.0,56.0,0.00,0.00,0.00
DAWM5,2023-09-09,6:00 AM,,,0.00,0.00,0.00
WTSM5,2023-09-09,6:00 AM,,,0.00,0.00,0.00
MOOM5,2023-09-09,,,,,,
BABM5,2023-09-09,,,,,,
TWRM5,2023-09-09,,,,,,
HKHM5,2023-09-09,7:00 AM,,,,,
WRNM5,2023-09-09,7:00 AM,75.0,57.0,T,0.00,0.00
ALBM5,2023-09-09,8:00 AM,77.0,52.0,0.00,0.00,0.00
MLCM5,2023-09-09,7:00 AM,75.0,47.0,0.00,0.00,0.00
SPGM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
TOGM5,2023-09-09,8:00 AM,70.0,49.0,0.47,0.00,0.00
EMBM5,2023-09-09,6:00 AM,72.0,48.0,0.00,0.00,0.00
LAKM5,2023-09-09,7:00 AM,,,0.00,0.00,0.00
WNNM5,2023-09-09,8:00 AM,79.0,53.0,0.00,0.00,0.00
MRRM5,2023-09-09,8:00 AM,86.0,56.0,0.00,0.00,0.00
OSGM5,2023-09-09,7:00 AM,76.0,51.0,0.00,0.00,0.00
GMRM5,2023-09-09,8:00 AM,59.0,51.0,0.00,0.00,0.00
RHSM5,2023-09-09,7:00 AM,73.0,55.0,0.00,0.00,0.00
LAMM5,2023-09-09,8:00 AM,84.0,52.0,0.00,0.00,0.00
ALTM5,2023-09-09,8:00 AM,,,0.00,0.00,0.00
